api_function_block,proposed_node_or_facade,status,source,licence,parameters,methods
FB_VN_FileSourceControl,Node_FB_VN_FileSourceControl,missing,,TC3 Vision Base,,GetCurrentImage(ipImage: Reference To ITcVnImage [In]): HRESULT; GetCurrentImageAndFileName(ipImage: Reference To ITcVnImage [In]; sFileName: STRING [In]; nMaxLen: UINT [In]): HRESULT; StartAcquisition(): HRESULT; StopAcquisition(): HRESULT; Reset(): HRESULT; GetState(): ETcVnCameraState; TriggerImage(): HRESULT; TriggerImageExp(nSkipImages: DINT [In]): HRESULT; TriggerImageByName(sImageName: STRING [In]): HRESULT
FB_VN_GeneralizedHoughBallard,Node_FB_VN_GeneralizedHoughBallard,missing,,TC3 Vision Matching,,Detect(ipImage: ITcVnImage [In]; ipPositions: Reference To ITcVnContainer [In]): HRESULT; SetCannyThreshold(nLow: DINT [In]; nHigh: DINT [In]): HRESULT; SetInvAccuRatio(fInvAccuRatio: LREAL [In]): HRESULT; SetLevels(nLevels: DINT [In]): HRESULT; SetMinDist(fMinDist: LREAL [In]): HRESULT; SetTemplate(ipImage: ITcVnImage [In]): HRESULT; SetVotesThreshold(nVotes: DINT [In]): HRESULT
FB_VN_GevCameraControl,Node_FB_VN_GevCameraControl,missing,,TC3 Vision Base,,ClearImageQueue(): HRESULT; CloseCamera(): HRESULT; GetCalibPatternRef(ipCalibPatternRef: Reference To ITcVnContainer [In]): HRESULT; GetCameraMatrix(aCameraMatrix: TcVnMatrix3x3_LREAL [InOut]): HRESULT; GetCurrentImage(ipImage: Reference To ITcVnImage [In]): HRESULT; GetCurrentImageUndistorted(ipImage: Reference To ITcVnImage [In]): HRESULT; GetCurrentImageWithGvspInfo(ipImage: Reference To ITcVnImage [In]; stGvspInfo: GVSP_IMAGE_INFO [InOut]): HRESULT; GetCurrentImageWithGvspInfoUndistorted(ipImage: Reference To ITcVnImage [In]; stGvspInfo: GVSP_IMAGE_INFO [InOut]): HRESULT; GetCurrentImageWithTimestamps(ipImage: Reference To ITcVnImage [In]; nTimestamps: ULINT [In]; pTimestamps: Pointer To LINT [In]; stGvspInfo: GVSP_IMAGE_INFO [Out]): HRESULT; GetDistortionCoefficients(aDistortionCoefficients: TcVnArray8_LREAL [InOut]): HRESULT; GetImageQueueSize(nSize: ULINT [InOut]): HRESULT; GetLastImageFromQueue(ipImage: Reference To ITcVnImage [In]): HRESULT; GetOmittedImagesNum(nOmitted: ULINT [InOut]): HRESULT; GetRotationMatrix(aRotationMatrix: TcVnMatrix3x3_LREAL [InOut]): HRESULT; GetState(): ETcVnCameraState; GetTranslationVector(aTranslationVector: TcVnVector3_LREAL [InOut]): HRESULT; InitializeCamera(): HRESULT; OpenCamera(): HRESULT; Reset(): HRESULT; ResetCameraFeatures(): HRESULT; SetCameraMatrix(aCameraMatrix: TcVnMatrix3x3_LREAL [InOut]): HRESULT; SetDistortionCoefficients(aDistortionCoefficients: TcVnArray8_LREAL [InOut]): HRESULT; SetRotationMatrix(aRotationMatrix: TcVnMatrix3x3_LREAL [InOut]): HRESULT; SetTranslationVector(aTranslationVector: TcVnVector3_LREAL [InOut]): HRESULT; StartAcquisition(): HRESULT; StopAcquisition(): HRESULT; TriggerImage(): HRESULT
FB_VN_InitializeFunction,Node_FB_VN_InitializeFunction,excluded_from_build,src/sln/lib/mobject-graph-vision-pack/Nodes/Miscellaneous/Node_FB_VN_InitializeFunction.TcPOU,TC3 Vision Base,eFunction: ETcVnInitializableFunction [In]; nOptions: ULINT [In] = 0; bStart: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadCalibrationPattern,Node_FB_VN_ReadCalibrationPattern,missing,,TC3 Vision Base,sFilePath: STRING [In]; ipDestContainer: Reference To ITcVnContainer [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadCalibrationResult,Node_FB_VN_ReadCalibrationResult,missing,,TC3 Vision Base,sFilePath: STRING [In]; aCameraMatrix: Reference To TcVnMatrix3x3_LREAL [In]; aDistortionCoefficients: Reference To TcVnArray8_LREAL [In]; aRotationMatrix: Reference To TcVnMatrix3x3_LREAL [In]; aTranslationVector: Reference To TcVnVector3_LREAL [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadContainer,Node_FB_VN_ReadContainer,missing,,TC3 Vision Base,sFilePath: STRING [In]; ipDestContainer: Reference To ITcVnContainer [In]; nDestTypeGuid: GUID [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadImage,Node_FB_VN_ReadImage,missing,,TC3 Vision Base,sFilePath: STRING [In]; ipDestImage: Reference To ITcVnImage [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadMemory,Node_FB_VN_ReadMemory,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nLength: UINT [In]; pBuffer: PVOID [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadMlModel,Node_FB_VN_ReadMlModel,missing,,TC3 Vision Base,sFilePath: STRING [In]; ipDestMlModel: Reference To ITcVnMlModel [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
