api_interface,wrapper,status,scope,source,description,methods
ITcIoFileImageAcquisition,_ITcIoFileImageAcquisition,missing,advanced_device_export_or_interface_method_access,,Extends ITcIoImageAcquisition; Interface for file image acquisition.,CheckConnection(): HRESULT; TriggerImage(nSkipImages: DINT [In]): HRESULT; TriggerImageByName(sImageName: STRING [In]): HRESULT
ITcIoFileImageRecv,_ITcIoFileImageRecv,missing,advanced_device_export_or_interface_method_access,,Extends ITcIoImageRecv; Interface for a image receiver.,ReceiveImage(ipImage: ITcVnImageBase [In]; sFileName: STRING [In]; hrAcquisitionResult: HRESULT [In]): HRESULT
ITcIoGevImage,_ITcIoGevImage,missing,advanced_device_export_or_interface_method_access,,Extends ITcVnImageBase; Interface for GigE Vision images.,CheckIfCopy(): HRESULT; DecreaseHeight(nNewHeight: UDINT [In]): HRESULT; GetBlockId(nBlockId: Reference To ULINT [In]): HRESULT; GetGevStatus(nGevStatus: Reference To UINT [In]): HRESULT; GetGvspImageInfo(ppGvspImageInfo: Pointer To Pointer To GVSP_IMAGE_INFO [In]): HRESULT; SetGevStatus(nGevStatus: UINT [In]): HRESULT
ITcIoGevImageAcquisition,_ITcIoGevImageAcquisition,missing,advanced_device_export_or_interface_method_access,,Extends ITcIoImageAcquisition; Interface for GigE Vision image acquisition.,CheckConnection(eAssumedState: Reference To GEV_CAMERA_STATE [In]; eActualState: Reference To GEV_CAMERA_STATE [In]): HRESULT
ITcIoImageAcquisition,_ITcIoImageAcquisition,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for image acquisition.,RegisterReceiver(ipRecv: ITcIoImageRecv [In]): HRESULT; UnregisterReceiver(): HRESULT; OpenCamera(): HRESULT; CloseCamera(): HRESULT; StartAcquisition(): HRESULT; StopAcquisition(): HRESULT; SoftwareTrigger(bSplitConcatenatedCommands: BOOL [In]; bOmitAcknowledgement: BOOL [In]): HRESULT; InitializeCamera(): HRESULT
ITcIoImageRecv,_ITcIoImageRecv,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for a image receiver.,ReceiveImage(ipImage: ITcVnImageBase [In]; hrAcquisitionResult: HRESULT [In]): HRESULT; ReceiveOpResult(hrOperationResult: HRESULT [In]): HRESULT
ITcSerializableNotification,_ITcSerializableNotification,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface required for sending serialized objects as ADS notifications.,GetComparisonValue(nComparisonValue: Reference To LINT [In]): HRESULT; SerializeRpcUnlocked(nBufferSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT
ITcVnAccess_DINT,_ITcVnAccess_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for DINT values.,Get(nValue: Reference To DINT [In]): HRESULT; Set(nValue: DINT [In]): HRESULT
ITcVnAccess_INT,_ITcVnAccess_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for INT values.,Get(nValue: Reference To INT [In]): HRESULT; Set(nValue: INT [In]): HRESULT
ITcVnAccess_ITcVnImage,_ITcVnAccess_ITcVnImage,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for images.,Get(ipImage: Reference To ITcVnImage [In]): HRESULT; Set(ipImage: ITcVnImage [In]): HRESULT
ITcVnAccess_LREAL,_ITcVnAccess_LREAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for LREAL values.,Get(fValue: Reference To LREAL [In]): HRESULT; Set(fValue: LREAL [In]): HRESULT
ITcVnAccess_REAL,_ITcVnAccess_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for REAL values.,Get(fValue: Reference To REAL [In]): HRESULT; Set(fValue: REAL [In]): HRESULT
ITcVnAccess_SINT,_ITcVnAccess_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for SINT values.,Get(nValue: Reference To SINT [In]): HRESULT; Set(nValue: SINT [In]): HRESULT
ITcVnAccess_TcVnDMatch,_ITcVnAccess_TcVnDMatch,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnDMatch values.,Get(stDMatch: Reference To TcVnDMatch [In]): HRESULT; Set(stDMatch: Reference To TcVnDMatch [In]): HRESULT
